exhibitor_id,name,booths,hall,description,seeking_funding,funding_amount,investment_stage,revenue,logo_file,featured,tags
001Pp00001ULoMdIAL,Hestinova Co. Ltd.,61446,M,"Hestinova Co. Ltd., founded in 2025 in Hangzhou, focuses on R&D of embodied-intelligence robots for eldercare. Combining multimodal perception, emotional interaction, and autonomous navigation, Hestinova builds adaptive robotic systems accelerating AI-driven innovation in smart healthcare and aging services.",Yes,<250;000,Seed,<500;000,001Pp00001ULoMdIAL.jpg,,
001Pp00001NRVjeIAH,HoloVu,60437,M,"HoloVu is AI-powered smart glasses and a cloud platform that recognizes what you see and overlays real-time insights. Users collaborate via in-view annotations for sports, education, shopping, healthcare, work, media, gaming, and security.",Yes,2;000;001-15;000;000,Seed,<500;000,001Pp00001NRVjeIAH.png,,
001Pp00001RPtisIAD,Insider Plus d.o.o.,61246,M,InsiderCX is a quality control SaaS for private healthcare leveraging advanced algorithms to get vast amounts of feedback data and AI agents to provide better care and reduce churn.,Yes,250;000-2;000;000,Seed,501;000-1;000;000,001Pp00001RPtisIAD.png,,
001Pp00000f8YwAIAU,IntBot,9377,A,"We develop interactive humanoid robots for a wide range of applications, from retail, healthcare, to education, where seamless, safe, and engaging human-robot experiences are critical. Our solution features fluid motion control algorithms and multimodal interaction services to enhance user engagement and task efficiency.",No,,,,001Pp00000f8YwAIAU.png,,
001Pp00001NlPI9IAN,"INVIZ Co., Ltd",50335,X,"IINVIZ Co., Ltd. is an AI healthcare company specializing in medical image analysis and remote diagnostics. We use advanced AI to improve the accuracy, efficiency, and accessibility of medical imaging. Our team builds a sustainable healthcare system through research, global partnerships, and eco-friendly solutions.",Yes,250;000-2;000;000,Series A,<500;000,001Pp00001NlPI9IAN.jpg,,
0014V00003pR7rtQAC,IQVIA Digital,Aria Hospitality Suites,AA,"IQVIA Digital powers exceptional brand experiences, delivering innovative solutions based on a customer-first, insights-driven, and integrated omnichannel vision. We provide authenticated, enhanced data and analytics, innovative fit-for-purpose healthcare technology, and the expertise to enable an effective and adaptable marketing model.",No,,,,0014v00003pr7rtqac.jpg,,
0013000001KaMMzAAN,Jazz Hipster Corp.,Venetian Palazzo Hospitality Suites,U,"Jazz Hipster was established in 1981 in Taiwan as a professional speaker manufacturer for more than 40 years. Jazz Hipster provides a wide range of ODM/OEM product lines and solutions, inclu. video/audio conference series, home theater series, speaker drivers, healthcare speakers, and customized streaming solutions on demand.  ",No,,,,0013000001kammzaan.jpg,,
001Pp00001NRGUNIA5,"JENLiFE Co., LTD.",50363,X,"JENLiFE is a biotech company developing an innovative electronic nose (E-Nose) platform based on M13 bacteriophage olfactory sensor technology, enabling applications across various fields such as healthcare, environmental monitoring, and consumer electronics.",No,,,,001Pp00001NRGUNIA5.png,,
001Pp00001HcEndIAF,JSK Biomed,55429,X,"JSK Biomed is a pioneering biomedical company committed to improving global health and quality of life through innovative medical solutions. As the developer of the world’s very first needle-free injector, we leverage advanced technology and strong R&D to deliver cutting-edge products and services in therapeutics and healthcare.",No,,,,001Pp00001HcEndIAF.png,,
001Pp00000hCR25IAG,JunctionMed,50335,X,"JunctionMed specializes in senior healthcare. Its product, CareBom, uses voice recognition to record health data and offers personalized reports. It connects families with healthcare providers for comprehensive care, aiming to enhance seniors' quality of life.",,,,,001Pp00000hCR25IAG.png,,
0013000001KaMukAAF,"Kontech Electronics Co., Ltd.",51623,X,"Established in 2007, Kontech is a global leader in professional display solutions, serving industries such as hospitality, healthcare, and outdoor entertainment. Sylvox, a subsidiary of Kontech, delivers innovative and reliable products to customers in over 100 countries, leveraging advanced technology, durability, and sustainability.",,,,,0013000001KaMukAAF.png,,
001Pp0000042JU9IAM,"Korea I.T.S. Co., Ltd.",55530,X,"Korea I.T.S. Co., Ltd. leads healthcare innovation with QuickGly™, a non-invasive glycated hemoglobin (HbA1c) measurement device. QuickGly™ offers a simple and accurate HbA1c solution to enhance diabetes management efficiency and improve patients' quality of life with cutting-edge technology.",,,,,001Pp0000042JU9IAM.jpg,,
001Pp00000onX4bIAE,LEEBIO,62833,M,"Leebio develops smart diagnostic devices that combine optical analysis and AI-based interpretation. Our products deliver lab-level accuracy with simple, user-friendly operation, serving home users, healthcare providers, and businesses. We focus on water quality and rapid test digitization.",Yes,<250;000,Pre-seed,<500;000,001Pp00000onX4bIAE.png,,
001Pp00001NRDRkIAP,"Leesol Co.,Ltd",50363,X,"Leesol leads innovation in Personal Digital Therapeutics. We use AI-Driven Precision Electrical Brain Stimulation to prevent and treat neurological disorders like sleep, depression, and dementia. Visit our booth to experience this optimized AI health solution and witness the technology shaping the future of healthcare.",Yes,2;000;001-15;000;000,Series A,> 1;000;000,001Pp00001NRDRkIAP.jpg,,
001Pp00001PV4ZyIAL,Medicell Healthcare,50523,X,,,,,,,,
001Pp00000noLQ1IAM,"MENINBLOX, Inc.",50335,X,"MediKoGPT is your healthcare assistant for digestive health. Simply input your symptoms to get a personalized diagnosis, next steps, and lifestyle tips. It also helps you communicate seamlessly with healthcare providers for accurate treatment. Manage your digestive health with MediKoGPT, your trusted partner.",,,,,001Pp00000noLQ1IAM.png,,
0014V00003nkCV1QAM,"Micro Power Cells, Inc.",35525,D,"Micro Power Cells, Inc. is a well-known micro battery designer and manufacture, focused on the capacity under 1000mAh, to support the applications in IOT, healthcare, etc. The company is also a worldwide leading supplier for the gadgets, such as smart watch, tracking tag, AI driven toy, etc., to enhance your mobile life style.",,,,,,,
0013000001KaMJAAA3,"MobiFren Co., Ltd.",21043,B,"MobiFren, founded in 2002, has grown from Bluetooth audio expertise into a digital healthcare innovator. Our HealingFit TWS, the world’s first integrated TES & Sound Therapy earphones, won a CES 2026 Innovation Award. ANYWHERE, ANYTIME: Bluetooth earphones in everyday life, therapy when you need it. Track→Treat→Transform for better life.",Yes,2;000;001-15;000;000,Seed,> 1;000;000,0013000001KaMJAAA3.jpg,,
001Pp00000SObRRIA1,Noul,8005,A,"""Empowering Diagnostics Anywhere in the World with AI Technology!"" Noul is an digital healthcare company committed to tackling global health challenges through innovative solutions. Its flagship product, miLab™, is the world’s first on-device AI diagnostic solution, enabling automated blood and cancer diagnostics in just 15 minutes.",Yes,>50;000;000,Series C and beyond,> 1;000;000,001pp00000sobrria1.png,,
0014V00003Th43XQAR,Only One Lab co. ltd.,50363,X,O2 Lab is based on its expertise in physical therapy and rehabilitation Study human movement  for a healthy and balanced body and prevention of damage  We are working on developing smart healthcare products.,Yes,250;000-2;000;000,Seed,<500;000,0014v00003th43xqar.png,,
001Pp00000mXINaIAO,OrthoFoodie,62100,M,"Revolutionizing entire Food Chain with Science-based insights into optimal Nutritional content of Foods fostering healthier lifestyles & addressing global health crises like obesity, chronic diseases & nutrient deficiencies. Seeking to connect with Food Ingredient & Dietary Experts in Food production, Food service & Healthcare industries.",,,,,001Pp00000mXINaIAO.png,,
001Pp00001NjGSiIAN,P3 labs inc,60833,M,"P3 Labs AI creates interactive, emotionally intelligent digital human avatars that bring storytelling, education, and brand experiences to life. Using advanced AI, real-time 3D animation, and holographic displays, we humanize technology for retail, enterprise, museums, healthcare, sports, entertainment and personal legacy.",Yes,250;000-2;000;000,Pre-seed,<500;000,001Pp00001NjGSiIAN.png,,
001Pp00001UiSQLIA3,PONS Inc,53423,X,Making ultrasound accessible to the mass market with AI  We believe that mobile ultrasound will become a consumer product. Healthcare is shifting to become highly decentralized and proactive. We are the first company to overcome the limitations of the limited visibility of early-stage tissue characteristics in cancer and chronic diseases,Yes,2;000;001-15;000;000,Seed,<500;000,001Pp00001UiSQLIA3.png,,
001Pp00001Wj5iDIAR,PurpleLab,Aria Hospitality Suites,AA,"PurpleLab® is a healthtech company with a mission to make healthcare speak a single unified language to drive better outcomes. Ou no-code healthcare analytics platform, empowers life sciences, payers, providers and other stakeholders with real-world evidence to solve conventional & emerging challenges faster & cost effectively.",No,,,,,,
001Pp000003NsNpIAK,"RealMan Intelligent Technology (Beijing) Co., Ltd.",8237,A,"RealMan is a leading high-tech enterprise specializing in the R&D, production, and sales of ultra-lightweight humanoid robotic arms, compound robot and actuators. ealMan’s products are widely applied in industries such as new retail, smart dining, commercial services, healthcare, quality inspection, education and research, manufacturing.",,,,,001Pp000003NsNpIAK.png,,
0014V00001gav6LQAQ,"RealTimeMediCheck Co., Ltd.",50123,X,"RealTime MediCheck Co., Ltd. is a digital healthcare company established with the business purpose of real-time medical information collection, analysis, and utilization. Our core business is the global vaccine informatization project, and we have successfully digitized all processes related to vaccine administration through our self-deve",,,,,0014V00001gav6LQAQ.png,,
0014V00002JIFFZQA5,Richtech Robotics,8447,A,"Since 2016, Richtech Robotics has provided collaborative robotic solutions to the service industry, including hospitality, healthcare, and automotive. These cutting-edge solutions enhance the customer experience and empower businesses to achieve more, propelling organizations toward unparalleled levels of excellence and satisfaction.",,,,,0014V00002JIFFZQA5.png,,
0014V00003wZAkfQAG,RingConn LLC,55535,X,"RingConn's mission is to provide innovative products and services that improve people's understanding of themselves, while combining technology, healthcare and interdisciplinarity to make these products benefit people's lives.",,,,,0014V00003wZAkfQAG.png,,
0013000001MfBzpAAF,"SCHOTT North America, Inc.",Venetian Palazzo Hospitality Suites,U,"As a global specialty glass & material technology group, we are constantly exploring unique and innovative ways to make a difference for businesses and people. We are a highly skilled partner for many high-tech industries: Healthcare, Home Appliances & Living, Consumer Electronics, Semiconductors, Optics, Astronomy, Energy, and Aerospace.",No,,,,0013000001MfBzpAAF.png,,
001Pp00001Pg0zHIAR,Sensura Pte Ltd,35301,D,"Headquartered in Singapore, Sensura is a medical technology company dedicated to   transforming diagnostics through non-invasive optical sensing. Leveraging proprietary sensor   architecture, advanced AI algorithms, and integrated system design, we aim to deliver   affordable, accurate, and scalable biomarker detection for global healthcare",No,,,,,,
001Pp00001G3KOfIAN,"Shenzhen Beauty Magic Cube Robot Co., Ltd.",54466,X,"Shenzhen Beauty Magic Cube Robot Co., Ltd focuses on intelligent robot R&D and application. Specializing in humanoid, ultrasonic, physiotherapy & rehabilitation robots and IoT platforms, it integrates R&D, production and sales. Committed to empowering healthcare via robotics, it aims to lead the industry.",No,,,,001Pp00001G3KOfIAN.png,,
0013000001P7y5dAAB,"Shenzhen Fitcare Electronics Co., Ltd.",54613,X,"Fitcare founded in Jan 2011, is a high-tech enterprise integrating with R&D, production and sales service, committed to fitness and healthcare  electronic products. We can provide high-quality service of ODM / OEM / JDM all over the world",,,,,0013000001P7y5dAAB.jpg,,
001Pp00000HVY0PIAX,"shenzhen osto medical technology co.,ltd",54471,X,"OSTO MEDICAL is founded in 2008.As the Top 5 manufacturer in healthcare and beauty care field for more than 20 years,itis certified by ISO13485,BSCI, RoHS, FCC,FDA,TGA,Medical CE.With much experience in cooperating with Famous brand corporations all over the world such as Aldi,walmart and so on.",No,,,,001Pp00000HVY0PIAX.jpg,,
001Pp000002sLMYIA2,"Shenzhen Sonida Digital technology co., ltd.",36227,D,"Founded in 2006, Shenzhen Sonida Digital Technology Co., Ltd. is a national high-tech enterprise integrating design, R&D, production and sales. The company products include digital cameras, camcorders, digital photo frames, audio-visual products, smart home, healthcare products, 3C accessories and so on.",,,,,001Pp000002sLMYIA2.png,,
001Pp00000ztl1bIAA,"Shenzhen Toptech Manufacturing Co., Ltd.",51269,X,"Shenzhen Toptech Manufacturing Co., Ltd., is a technology company specializing in R&D, design, production, and sales of artificial intelligence (AI) devices. Our product portfolio spans multiple fields, including smart healthcare, smart communities, and smart home systems.",Yes,250;000-2;000;000,Pre-seed,<500;000,001Pp00000ztl1bIAA.png,,
001Pp00001NY3PpIAL,"Shoealls Co., Ltd",50523,X,"SHOEALLS, Korea’s first medical device-certified footwear company, transforms shoes into innovative healthcare devices. With vibration chip technology to ease pain and blood circulation, plus GPS and smart sensors for activity tracking, SHOEALLS evolves into a wearable healthcare platform redefining foot health and personalized care.",No,,,,001Pp00001NY3PpIAL.jpg,,
0014V00001zn9ohQAA,Siemens,8725,A,"Siemens is a leading technology company focused on industry, infrastructure, transport, and healthcare. From more resource-efficient factories, smarter buildings and grids, to cleaner transportation, we create technology with purpose. By combining the real and the digital worlds, Siemens empowers its customers to transform the everyday.",,,,,0014V00001zn9ohQAA.png,,
001Pp00001NRHyvIAH,ST-Labs,50816,X,"ST-Labs, founded in 2021, develops short wave infrared (SWIR) spectrum analysis and AI solutions. With innovative, cost-effective technologies, the company drives sustainability through plastic analysis and recycling innovation, while expanding applications across agriculture, healthcare, and environmental fields.",No,,,,001Pp00001NRHyvIAH.png,,
001Pp00000Yd3gxIAB,Swoop,Aria Hospitality Suites,AA,"Swoop is a leading provider of precision AI-driven healthcare omnichannel solutions dedicated to protecting consumer privacy. By prioritizing privacy and compliance, Swoop ensures the highest standards of data protection for its clients and partners. Our superior audience quality segments generate optimal conversion and increased Rx lift.",,,,,001Pp00000Yd3gxIAB.png,,
001Pp00001Ta40kIAB,SYM Healthcare,62643,M,"SYM Healthcare builds 4DEYE an AI musculoskeletal platform unifying screening, diagnosis, treatment, and assessment. We detect early joint dysfunction and deliver AI-guided digital therapeutics, enabling independent recovery and scalable, preventive care across hospitals, schools, and workplaces with a continuous data flow.",Yes,250;000-2;000;000,Seed,501;000-1;000;000,001Pp00001Ta40kIAB.png,,
001Pp0000038fFZIAY,"T&L HEALTHCARE Co., Ltd",50523,X,"Our focus is on pioneering a new era in healthcare devices. Our expertise in merging novel materials with state-of-the-art hardware manufacturing has led to significant strides in research, development, and the commercialization of Stretchable Electronic Devices, tailored for healthcare applications in both medical and beauty sectors.",No,,,,001Pp0000038fFZIAY.jpg,,
001Pp00000kLii3IAC,Team Elysium Inc.,50123,X,"Team Elysium is a pioneering AI-driven healthcare startup specializing in MSK health. By harnessing advanced 3D sensing technology, we provide precise diagnostics and comprehensive management solutions for MSK conditions. Our innovative tools are trusted by over 400 healthcare providers and are gaining traction in fitness facilities.",,,,,,,
001Pp00001Do6hiIAB,Tiposi,54003,X,"The Tiposi Brain Health Scanner is a game-changing device that combines RF microwave technology with a smart antenna and AI to measure brain tissue properties in just 2 minutes. Designed for mobility, speed and flexibility, our goal is to provide healthcare providers with an AI based tool that's fast, accurate, and reliable.",No,,,,001Pp00001Do6hiIAB.png,,
001Pp00001W0LmNIAV,"TsingLan Technology (Shenzhen) Co., Ltd",35548,D,"Tsinglan (Shenzhen) specializes in mmWave radar. Its flagship product, the AI Care Sensor, detects body position, respiration, heart rate, sleep, and enables two-way voice calls, providing five core alerts for senior safety. Partnering with leading companies, it serves global elderly care, home, healthcare, and hotel markets.",No,,,,001Pp00001W0LmNIAV.png,,
001Pp000004QaDgIAK,Twohands Interactive Inc.,50363,X,"Twohands Interactive is an immersive solutions company with over 20 years of experience in game development and 3D spatial analysis. In 2020, we launched DIDIM, the world’s first LiDAR-based AR indoor fitness platform. By merging technology, exercise, and play, we inspire lasting healthy habits and build the future of digital healthcare.",No,,,,001Pp000004QaDgIAK.jpg,,
001Pp00000aiSrvIAE,U.S. Department of Veterans Affairs,8900,A,"The Veterans Affairs R&D is dedicated to improving the lives of Veterans and all Americans through healthcare discoveries and innovative solutions. The VA focuses on assistive technologies, healthcare, mobility, and personal health and safety advancements. Discover the latest innovations developed to support our Veterans and the public.",No,,,,001pp00000aisrviae.jpg,,
001Pp000002L03tIAC,"ULS Robotics Co., Ltd.",8929,A,"ULSrobotics Co., Ltd. (referred to as ULS Robotics) is a robotics technology enterprise specializing in exoskeleton platforms. The company focuses on R&D, promotion and applications of exoskeleton robots for industries like manufacturing, logistics, aviation and healthcare.",No,,,,001Pp000002L03tIAC.png,,
0014V00001gadMLQAY,Ultrahuman Healthcare Private Limited,54106,X,"Ultrahuman is the world's most comprehensive self-quantification platform. Ultrahuman's products include the Ultrahuman Ring AIR, world's lightest sleep-tracking wearable, Ultrahuman M1, a continuous glucose monitoring platform, and Blood Vision, a preventive blood testing platform with the pioneering UltraTrace technology.",No,,,,0014V00001gadMLQAY.png,,
001Pp00001SofHBIAZ,United One (Group) America Inc,56227,X,"We’ve developed the world first Black Diamond Carbon & Nano Silver technology. United One Group healthcare products help improve circulation, support immune function, and enhance joint and muscle performance without surgery or convention prescription drugs. Our mission: healthier lives through continuous innovation and dedicated research.",Yes,15;000;001-50;000;000,Pre-seed,> 1;000;000,001Pp00001SofHBIAZ.png,,
0014V00002JIA8NQAX,"UWICOM Co., Ltd.",50523,X,"UWICOM is a healthcare technology company based in South Korea, specializing in developing innovative assistive listening devices to improve communication and quality of life for the elderly. Certified with KC, CE, FCC, and TELEC, and supported by registered patents, our solutions meet international safety and performance standards.",No,,,,0014V00002JIA8NQAX.jpg,,
001Pp00001VZI9OIAX,Viseur AI,63432,M,"Viseur AI is a health tech company building integrated SaaS solutions that accelerate diagnoses, optimize workflows and make clinical AI accessible to all healthcare professionals. Viseur AI focuses on solving the most pressing challenges in radiology, digital pathology and AI development without requiring any technical expertise.",Yes,250;000-2;000;000,Seed,<500;000,001Pp00001VZI9OIAX.png,,
0013A00001Xq8JQQAZ,Water.io,53423,X,"Water.io transforms hydration through smart packaging and IoT-connected bottles. Our patented technology turns any bottle into a smart hydration companion—tracking intake, reminding users to drink, and syncing with health apps. Powering leading wellness, fitness, and healthcare brands worldwide.",Yes,250;000-2;000;000,Series A,> 1;000;000,0013A00001Xq8JQQAZ.png,,
0013A00001eZKnaQAG,Wisesorbent Technology LLC,9372,A,"WiseSorbent has been committed to providing moisture control packaging solutions for over 23 years. We specialize in innovative anti-moisture, oxygen removal, and deodorant packaging for pharmaceuticals, healthcare, diagnostic reagents, industrial, food, and household products.",,,,,0013A00001eZKnaQAG.png,,
001Pp00000e0qapIAA,"Wondfo USA Co., Ltd.",54416,X,"Wondfo USA Co., Ltd., headquartered in Bolingbrook, IL, is a leading provider of healthcare tests. Headquartered in Guangzhou, China, Wondfo is a globally recognized fast-growing POCT manufacturer specialized in R&D, manufacture, and sales of rapid diagnostic tests and related medical devices for in vitro diagnostics.",No,,,,001Pp00000e0qapIAA.png,,
